1778069067460|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069067466|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069067468|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COUNT(*) FROM employee WHERE company_code = ? AND use_yn = ?|SELECT COUNT(*) FROM employee WHERE company_code = '1000' AND use_yn = 'Y'
1778069067471|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn=? and cc1_0.company_code=?|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn='Y' and cc1_0.company_code='1000'
1778069078582|4|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069078582|4|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC |SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC 
1778069078583|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? ORDER BY value DESC LIMIT 10 |SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' ORDER BY value DESC LIMIT 10 
1778069078594|2|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069078599|3|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COUNT(*) FROM employee WHERE company_code = ? AND use_yn = ?|SELECT COUNT(*) FROM employee WHERE company_code = '1000' AND use_yn = 'Y'
1778069078602|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn=? and cc1_0.company_code=?|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn='Y' and cc1_0.company_code='1000'
